epoch,train_loss,val_loss,dfdc_auroc,dfdc_f1,dfdc_eer,lr_bb,lr_head,time_s
0,0.6842,0.5644,0.7795,0.7747,0.3062,1.98e-05,0.000989,234.3
1,0.5739,0.5238,0.7917,0.7831,0.2997,1.91e-05,0.000957,228.5
2,0.5121,0.4383,0.871,0.8306,0.2164,1.81e-05,0.000905,340.4
3,0.4782,0.4106,0.8923,0.8627,0.2092,1.67e-05,0.000835,335.1
4,0.4466,0.407,0.8901,0.8333,0.2309,1.5e-05,0.00075,336.2
5,0.4077,0.3604,0.9114,0.8582,0.1961,1.31e-05,0.000655,335.1
6,0.3781,0.3665,0.9144,0.8161,0.1869,1.1e-05,0.000552,334.3
7,0.3408,0.3346,0.9248,0.8631,0.1757,9e-06,0.000448,334.2
8,0.325,0.404,0.9131,0.8156,0.1961,6.9e-06,0.000345,334.0
9,0.3054,0.3899,0.9187,0.823,0.1783,5e-06,0.00025,333.3
10,0.2885,0.4074,0.9125,0.8067,0.1915,3.3e-06,0.000165,332.4
11,0.2856,0.3573,0.9262,0.8425,0.1757,1.9e-06,9.5e-05,332.2
12,0.2686,0.3974,0.9204,0.8243,0.164,9e-07,4.3e-05,331.9
13,0.2599,0.4067,0.9168,0.8451,0.1777,2e-07,1.1e-05,333.7
14,0.2544,0.4011,0.9214,0.8384,0.1757,0.0,0.0,331.3
